candidate_id,event_group_id,event_name,event_date,event_year,event_latitude_deg,event_longitude_deg,grid_latitude_deg,grid_longitude_deg_east,latitude_index,longitude_index,land_fraction,model_surface_height_m,distance_km,dependence_component,component_representative,cluster_ids,cell_rank,primary_cell
flat-creek-2013,flat-creek,Flat Creek glacier detachment,2013-08-05,2013,61.5,-141.53999999999999,61.25,218.5,115,874,0.99321663379669189,2312.568359375,27.880276717584088,flat-creek-2013,True,,1,True
flat-creek-2013,flat-creek,Flat Creek glacier detachment,2013-08-05,2013,61.5,-141.53999999999999,61.25,218.25,115,873,0.97928535938262939,2080.015380859375,29.965191746657784,flat-creek-2013,True,,2,False
flat-creek-2013,flat-creek,Flat Creek glacier detachment,2013-08-05,2013,61.5,-141.53999999999999,61.5,218.25,114,873,0.97415125370025635,2290.404296875,11.142098185760476,flat-creek-2013,True,,3,False
flat-creek-2013,flat-creek,Flat Creek glacier detachment,2013-08-05,2013,61.5,-141.53999999999999,61.5,218.5,114,874,0.96436047554016113,2164.240234375,2.1223053005080903,flat-creek-2013,True,,4,False
hillary-2014,hillary-2014,Hillary Ridge rock avalanche,2014-07-14,2014,-43.616500000000002,170.14269999999999,-43.75,170,535,680,0.99761509895324707,1285.2313232421875,18.762538827872582,hillary-2014,True,,1,True
hillary-2014,hillary-2014,Hillary Ridge rock avalanche,2014-07-14,2014,-43.616500000000002,170.14269999999999,-43.5,170.25,534,681,0.98925900459289551,1171.264892578125,15.574625413107253,hillary-2014,True,,2,False
hillary-2014,hillary-2014,Hillary Ridge rock avalanche,2014-07-14,2014,-43.616500000000002,170.14269999999999,-43.75,170.25,535,681,0.963234543800354,1425.5777587890625,17.169945933878537,hillary-2014,True,,3,False
hillary-2014,hillary-2014,Hillary Ridge rock avalanche,2014-07-14,2014,-43.616500000000002,170.14269999999999,-43.5,170,534,680,0.71066117286682129,680.03863525390625,17.321467881361198,hillary-2014,True,,4,False
sedongpu-2018,sedongpu,Sedongpu glacier avalanche,2018-10-16,2018,29.800000000000001,94.920000000000002,29.75,94.75,241,379,0.99839675426483154,4129.89990234375,17.323960715081327,sedongpu-2017-oct,False,site-sedongpu,1,True
sedongpu-2018,sedongpu,Sedongpu glacier avalanche,2018-10-16,2018,29.800000000000001,94.920000000000002,29.75,95,241,380,0.99773681163787842,3888.558349609375,9.5146187131888311,sedongpu-2017-oct,False,site-sedongpu,2,False
