candidate_id,grid_latitude_deg,grid_longitude_deg_east,primary_cell,year,window,hours,mean_t2m_k
dickson-2023,72.75,333.25,False,1986,event_day,24,258.7254638671875
dickson-2023,72.75,333.25,False,1987,2d,48,255.94868469238281
dickson-2023,72.75,333.25,False,1987,7d,168,260.66741943359375
dickson-2023,72.75,333.25,False,1987,7d_buffered,168,261.808349609375
dickson-2023,72.75,333.25,False,1987,30d,720,262.39749145507812
dickson-2023,72.75,333.25,False,1987,event_day,24,258.63336181640625
dickson-2023,72.75,333.25,False,1988,2d,48,258.93545532226562
dickson-2023,72.75,333.25,False,1988,7d,168,259.7705078125
dickson-2023,72.75,333.25,False,1988,7d_buffered,168,260.34393310546875
dickson-2023,72.75,333.25,False,1988,30d,720,262.11294555664062
dickson-2023,72.75,333.25,False,1988,event_day,24,256.73486328125
dickson-2023,72.75,333.25,False,1989,2d,48,252.03642272949219
dickson-2023,72.75,333.25,False,1989,7d,168,254.8717041015625
dickson-2023,72.75,333.25,False,1989,7d_buffered,168,255.38880920410156
dickson-2023,72.75,333.25,False,1989,30d,720,260.47952270507812
dickson-2023,72.75,333.25,False,1989,event_day,24,252.453369140625
dickson-2023,72.75,333.25,False,1990,2d,48,255.49189758300781
dickson-2023,72.75,333.25,False,1990,7d,168,258.81460571289062
dickson-2023,72.75,333.25,False,1990,7d_buffered,168,259.80670166015625
dickson-2023,72.75,333.25,False,1990,30d,720,264.67556762695312
dickson-2023,72.75,333.25,False,1990,event_day,24,254.33247375488281
dickson-2023,72.75,333.25,False,1991,2d,48,256.01785278320312
dickson-2023,72.75,333.25,False,1991,7d,168,259.48828125
dickson-2023,72.75,333.25,False,1991,7d_buffered,168,260.54507446289062
dickson-2023,72.75,333.25,False,1991,30d,720,262.575439453125
dickson-2023,72.75,333.25,False,1991,event_day,24,256.3519287109375
dickson-2023,72.75,333.25,False,1992,2d,48,259.82852172851562
dickson-2023,72.75,333.25,False,1992,7d,168,261.29873657226562
dickson-2023,72.75,333.25,False,1992,7d_buffered,168,260.57525634765625
dickson-2023,72.75,333.25,False,1992,30d,720,261.83807373046875
dickson-2023,72.75,333.25,False,1992,event_day,24,259.63824462890625
dickson-2023,72.75,333.25,False,1993,2d,48,263.41107177734375
dickson-2023,72.75,333.25,False,1993,7d,168,263.36965942382812
dickson-2023,72.75,333.25,False,1993,7d_buffered,168,263.40631103515625
dickson-2023,72.75,333.25,False,1993,30d,720,264.56976318359375
dickson-2023,72.75,333.25,False,1993,event_day,24,260.20645141601562
dickson-2023,72.75,333.25,False,1994,2d,48,261.37338256835938
dickson-2023,72.75,333.25,False,1994,7d,168,261.10110473632812
dickson-2023,72.75,333.25,False,1994,7d_buffered,168,261.865966796875
dickson-2023,72.75,333.25,False,1994,30d,720,263.70443725585938
dickson-2023,72.75,333.25,False,1994,event_day,24,259.59280395507812
dickson-2023,72.75,333.25,False,1995,2d,48,262.84121704101562
dickson-2023,72.75,333.25,False,1995,7d,168,262.78762817382812
dickson-2023,72.75,333.25,False,1995,7d_buffered,168,262.62249755859375
dickson-2023,72.75,333.25,False,1995,30d,720,264.06463623046875
dickson-2023,72.75,333.25,False,1995,event_day,24,263.27139282226562
dickson-2023,72.75,333.25,False,1996,2d,48,258.95706176757812
dickson-2023,72.75,333.25,False,1996,7d,168,261.0130615234375
dickson-2023,72.75,333.25,False,1996,7d_buffered,168,261.81094360351562
dickson-2023,72.75,333.25,False,1996,30d,720,262.58035278320312
dickson-2023,72.75,333.25,False,1996,event_day,24,258.229248046875
dickson-2023,72.75,333.25,False,1997,2d,48,255.158447265625
dickson-2023,72.75,333.25,False,1997,7d,168,259.701904296875
dickson-2023,72.75,333.25,False,1997,7d_buffered,168,261.12069702148438
dickson-2023,72.75,333.25,False,1997,30d,720,263.21029663085938
dickson-2023,72.75,333.25,False,1997,event_day,24,255.97129821777344
dickson-2023,72.75,333.25,False,1998,2d,48,257.73898315429688
dickson-2023,72.75,333.25,False,1998,7d,168,257.28799438476562
dickson-2023,72.75,333.25,False,1998,7d_buffered,168,257.44424438476562
dickson-2023,72.75,333.25,False,1998,30d,720,264.05841064453125
dickson-2023,72.75,333.25,False,1998,event_day,24,259.8955078125
dickson-2023,72.75,333.25,False,1999,2d,48,255.67158508300781
dickson-2023,72.75,333.25,False,1999,7d,168,257.29193115234375
dickson-2023,72.75,333.25,False,1999,7d_buffered,168,258.31915283203125
dickson-2023,72.75,333.25,False,1999,30d,720,262.92401123046875
dickson-2023,72.75,333.25,False,1999,event_day,24,254.228515625
dickson-2023,72.75,333.25,False,2000,2d,48,256.63693237304688
dickson-2023,72.75,333.25,False,2000,7d,168,258.86605834960938
dickson-2023,72.75,333.25,False,2000,7d_buffered,168,259.62118530273438
dickson-2023,72.75,333.25,False,2000,30d,720,263.97283935546875
dickson-2023,72.75,333.25,False,2000,event_day,24,255.8900146484375
dickson-2023,72.75,333.25,False,2001,2d,48,260.67236328125
dickson-2023,72.75,333.25,False,2001,7d,168,262.54391479492188
dickson-2023,72.75,333.25,False,2001,7d_buffered,168,262.96768188476562
dickson-2023,72.75,333.25,False,2001,30d,720,264.79635620117188
dickson-2023,72.75,333.25,False,2001,event_day,24,257.516845703125
dickson-2023,72.75,333.25,False,2002,2d,48,269.95352172851562
dickson-2023,72.75,333.25,False,2002,7d,168,268.22232055664062
dickson-2023,72.75,333.25,False,2002,7d_buffered,168,267.63809204101562
dickson-2023,72.75,333.25,False,2002,30d,720,263.98666381835938
dickson-2023,72.75,333.25,False,2002,event_day,24,266.94210815429688
dickson-2023,72.75,333.25,False,2003,2d,48,262.6295166015625
dickson-2023,72.75,333.25,False,2003,7d,168,263.23135375976562
dickson-2023,72.75,333.25,False,2003,7d_buffered,168,263.204345703125
dickson-2023,72.75,333.25,False,2003,30d,720,265.69284057617188
dickson-2023,72.75,333.25,False,2003,event_day,24,260.56045532226562
dickson-2023,72.75,333.25,False,2004,2d,48,256.74530029296875
dickson-2023,72.75,333.25,False,2004,7d,168,259.93875122070312
dickson-2023,72.75,333.25,False,2004,7d_buffered,168,261.18875122070312
dickson-2023,72.75,333.25,False,2004,30d,720,265.20181274414062
dickson-2023,72.75,333.25,False,2004,event_day,24,255.93229675292969
dickson-2023,72.75,333.25,False,2005,2d,48,258.19070434570312
dickson-2023,72.75,333.25,False,2005,7d,168,258.25665283203125
dickson-2023,72.75,333.25,False,2005,7d_buffered,168,258.81549072265625
dickson-2023,72.75,333.25,False,2005,30d,720,261.53961181640625
dickson-2023,72.75,333.25,False,2005,event_day,24,257.885009765625
dickson-2023,72.75,333.25,False,2006,2d,48,263.77151489257812
dickson-2023,72.75,333.25,False,2006,7d,168,261.2125244140625
dickson-2023,72.75,333.25,False,2006,7d_buffered,168,260.55007934570312
dickson-2023,72.75,333.25,False,2006,30d,720,264.31301879882812
dickson-2023,72.75,333.25,False,2006,event_day,24,265.43606567382812
dickson-2023,72.75,333.25,False,2007,2d,48,256.43856811523438
dickson-2023,72.75,333.25,False,2007,7d,168,258.26889038085938
dickson-2023,72.75,333.25,False,2007,7d_buffered,168,258.7928466796875
dickson-2023,72.75,333.25,False,2007,30d,720,262.09243774414062
dickson-2023,72.75,333.25,False,2007,event_day,24,253.77519226074219
dickson-2023,72.75,333.25,False,2008,2d,48,265.02777099609375
dickson-2023,72.75,333.25,False,2008,7d,168,265.75015258789062
dickson-2023,72.75,333.25,False,2008,7d_buffered,168,265.94461059570312
dickson-2023,72.75,333.25,False,2008,30d,720,266.61941528320312
dickson-2023,72.75,333.25,False,2008,event_day,24,259.79171752929688
dickson-2023,72.75,333.25,False,2009,2d,48,262.48193359375
dickson-2023,72.75,333.25,False,2009,7d,168,261.70199584960938
dickson-2023,72.75,333.25,False,2009,7d_buffered,168,261.15826416015625
dickson-2023,72.75,333.25,False,2009,30d,720,263.55416870117188
dickson-2023,72.75,333.25,False,2009,event_day,24,256.88180541992188
dickson-2023,72.75,333.25,False,2010,2d,48,266.342529296875
dickson-2023,72.75,333.25,False,2010,7d,168,267.29373168945312
dickson-2023,72.75,333.25,False,2010,7d_buffered,168,267.49066162109375
dickson-2023,72.75,333.25,False,2010,30d,720,267.42483520507812
dickson-2023,72.75,333.25,False,2010,event_day,24,261.04586791992188
dickson-2023,72.75,333.25,False,2011,2d,48,259.11892700195312
dickson-2023,72.75,333.25,False,2011,7d,168,260.10687255859375
dickson-2023,72.75,333.25,False,2011,7d_buffered,168,260.43295288085938
dickson-2023,72.75,333.25,False,2011,30d,720,264.19677734375
dickson-2023,72.75,333.25,False,2011,event_day,24,260.41159057617188
dickson-2023,72.75,333.25,False,2012,2d,48,260.74478149414062
dickson-2023,72.75,333.25,False,2012,7d,168,258.04263305664062
dickson-2023,72.75,333.25,False,2012,7d_buffered,168,257.58306884765625
dickson-2023,72.75,333.25,False,2012,30d,720,262.8299560546875
dickson-2023,72.75,333.25,False,2012,event_day,24,262.31423950195312
dickson-2023,72.75,333.25,False,2013,2d,48,261.83004760742188
dickson-2023,72.75,333.25,False,2013,7d,168,261.95233154296875
dickson-2023,72.75,333.25,False,2013,7d_buffered,168,262.52279663085938
dickson-2023,72.75,333.25,False,2013,30d,720,266.57717895507812
dickson-2023,72.75,333.25,False,2013,event_day,24,257.31951904296875
dickson-2023,72.75,333.25,False,2014,2d,48,264.6868896484375
dickson-2023,72.75,333.25,False,2014,7d,168,261.39642333984375
dickson-2023,72.75,333.25,False,2014,7d_buffered,168,260.67398071289062
dickson-2023,72.75,333.25,False,2014,30d,720,265.05392456054688
dickson-2023,72.75,333.25,False,2014,event_day,24,264.9349365234375
dickson-2023,72.75,333.25,False,2015,2d,48,259.131591796875
dickson-2023,72.75,333.25,False,2015,7d,168,263.15176391601562
dickson-2023,72.75,333.25,False,2015,7d_buffered,168,263.99588012695312
dickson-2023,72.75,333.25,False,2015,30d,720,265.64743041992188
dickson-2023,72.75,333.25,False,2015,event_day,24,262.0609130859375
dickson-2023,72.75,333.25,False,2016,2d,48,264.24868774414062
dickson-2023,72.75,333.25,False,2016,7d,168,265.1357421875
dickson-2023,72.75,333.25,False,2016,7d_buffered,168,264.34222412109375
