candidate_id,window,lapse_rate_k_per_km,site_minus_model_height_km,hours_above_273_15_k
kolka-2002,7d_buffered,9,1,75
kolka-2002,7d_buffered,9,2,0
naltar-2021,7d,4,-1,168
naltar-2021,7d,4,0,168
naltar-2021,7d,4,1,147
naltar-2021,7d,4,2,81
naltar-2021,7d,6.5,-1,168
naltar-2021,7d,6.5,0,168
naltar-2021,7d,6.5,1,105
naltar-2021,7d,6.5,2,15
naltar-2021,7d,9,-1,168
naltar-2021,7d,9,0,168
naltar-2021,7d,9,1,65
naltar-2021,7d,9,2,0
naltar-2021,7d_buffered,4,-1,168
naltar-2021,7d_buffered,4,0,168
naltar-2021,7d_buffered,4,1,147
naltar-2021,7d_buffered,4,2,80
naltar-2021,7d_buffered,6.5,-1,168
naltar-2021,7d_buffered,6.5,0,168
naltar-2021,7d_buffered,6.5,1,105
naltar-2021,7d_buffered,6.5,2,14
naltar-2021,7d_buffered,9,-1,168
naltar-2021,7d_buffered,9,0,168
naltar-2021,7d_buffered,9,1,63
naltar-2021,7d_buffered,9,2,0
aru-1-2016,7d,4,-1,168
aru-1-2016,7d,4,0,163
aru-1-2016,7d,4,1,120
aru-1-2016,7d,4,2,66
aru-1-2016,7d,6.5,-1,168
aru-1-2016,7d,6.5,0,163
aru-1-2016,7d,6.5,1,81
aru-1-2016,7d,6.5,2,17
aru-1-2016,7d,9,-1,168
aru-1-2016,7d,9,0,163
aru-1-2016,7d,9,1,52
aru-1-2016,7d,9,2,0
aru-1-2016,7d_buffered,4,-1,168
aru-1-2016,7d_buffered,4,0,162
aru-1-2016,7d_buffered,4,1,123
aru-1-2016,7d_buffered,4,2,70
aru-1-2016,7d_buffered,6.5,-1,168
aru-1-2016,7d_buffered,6.5,0,162
aru-1-2016,7d_buffered,6.5,1,84
aru-1-2016,7d_buffered,6.5,2,23
aru-1-2016,7d_buffered,9,-1,168
aru-1-2016,7d_buffered,9,0,162
aru-1-2016,7d_buffered,9,1,59
aru-1-2016,7d_buffered,9,2,0
aru-2-2016,7d,4,-1,148
aru-2-2016,7d,4,0,80
aru-2-2016,7d,4,1,49
aru-2-2016,7d,4,2,13
aru-2-2016,7d,6.5,-1,168
aru-2-2016,7d,6.5,0,80
aru-2-2016,7d,6.5,1,25
aru-2-2016,7d,6.5,2,0
aru-2-2016,7d,9,-1,168
aru-2-2016,7d,9,0,80
aru-2-2016,7d,9,1,4
aru-2-2016,7d,9,2,0
aru-2-2016,7d_buffered,4,-1,149
aru-2-2016,7d_buffered,4,0,80
aru-2-2016,7d_buffered,4,1,50
aru-2-2016,7d_buffered,4,2,15
aru-2-2016,7d_buffered,6.5,-1,168
aru-2-2016,7d_buffered,6.5,0,80
aru-2-2016,7d_buffered,6.5,1,27
