object_id,south,row0,rows,byte_start,byte_end,url,retrieval_mode,request_start_utc,request_complete_utc,curl_exit,http_status,requested_content_range,payload_path,payload_bytes,payload_sha256,response_header_path,response_status_line,response_date,etag,last_modified,content_length,content_range,header_bytes,header_sha256
pzi_rows_s+041,41,5748,144,993254400,1018137599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:50Z,2026-08-31T19:38:54Z,0,206,bytes 993254400-1018137599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s+041.rows,24883200,86bf9e80de1006b8a76d0d480a46959b6de38555f5e1e201a404b21e5a110602,data/geographic_total/source/pzi/pzi_rows_s+041.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:50 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 993254400-1018137599/3110400000,405,acfb6665e4ae126d253096b92239a7fafdfc1b49c828c035b34aa7dc8ce73281
pzi_rows_s+042,42,5628,144,972518400,997401599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:53Z,2026-08-31T19:38:57Z,0,206,bytes 972518400-997401599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s+042.rows,24883200,186e9bf5092ce9ae786569bf0f63225c6a77b7b17dd8698f888e1a6159a4402b,data/geographic_total/source/pzi/pzi_rows_s+042.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:54 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 972518400-997401599/3110400000,404,d4a25929d4e49ac7eeea13a91930711021ce45974dc781524346e6114cb8007d
pzi_rows_s+043,43,5508,144,951782400,976665599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:55Z,2026-08-31T19:38:58Z,0,206,bytes 951782400-976665599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s+043.rows,24883200,f9845af8a14245372ff28171253a59eefc2509ee93825b20c226760feef7c843,data/geographic_total/source/pzi/pzi_rows_s+043.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:55 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 951782400-976665599/3110400000,404,01ade4051dc82272cbe8e3063a56c22187d7c4ceb3a2ff1be8bef2a098a209bf
pzi_rows_s+046,46,5148,144,889574400,914457599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:57Z,2026-08-31T19:39:02Z,0,206,bytes 889574400-914457599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s+046.rows,24883200,fcd8f5760014b0c97691bc070ad8a60cf3346ff68bc4362f8d90ce3f4572c6ac,data/geographic_total/source/pzi/pzi_rows_s+046.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:58 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 889574400-914457599/3110400000,404,d2d0ccafbdd1f323fb107d67c01152da9a1cea33ec45f7b3a21af282fa0b3268
pzi_rows_s+047,47,5028,144,868838400,893721599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:58Z,2026-08-31T19:39:25Z,0,206,bytes 868838400-893721599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s+047.rows,24883200,6598cc0c282dfb9992c2ee8b1354823f21879e864c272a6af32bcb4969e06485,data/geographic_total/source/pzi/pzi_rows_s+047.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:38:59 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 868838400-893721599/3110400000,404,9ca97aa77732fb830bddaa6eab2273329a62416903edaf335218bc6d92add267
pzi_rows_s+051,51,4548,144,785894400,810777599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:38:59Z,2026-08-31T19:39:03Z,0,206,bytes 785894400-810777599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s+051.rows,24883200,22da4d73c7c29c44ecb7ebc80e8e48944215fc08a0166a4659020ad2be3a2910,data/geographic_total/source/pzi/pzi_rows_s+051.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:39:00 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 785894400-810777599/3110400000,404,c62bc5e52e7533e2c1b32346bb8dba638b24c53657ebce3737ee56d67289b0f6
pzi_rows_s+052,52,4428,144,765158400,790041599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:39:01Z,2026-08-31T19:39:05Z,0,206,bytes 765158400-790041599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s+052.rows,24883200,2c35a79c540846cca2ea9d581d7825d85487c0e24a9b4059e51df50f3b03c774,data/geographic_total/source/pzi/pzi_rows_s+052.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:39:02 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 765158400-790041599/3110400000,404,2ff7faaebd3bf44f1e19c181b09dcb1107cb9aa60fabe162c252afae2e6923dd
pzi_rows_s+054,54,4188,144,723686400,748569599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:39:02Z,2026-08-31T19:39:26Z,0,206,bytes 723686400-748569599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s+054.rows,24883200,5cd03cfe1560829fe8dfa379c05d78571bddf948ba2d48000874bc4317a08290,data/geographic_total/source/pzi/pzi_rows_s+054.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:39:02 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 723686400-748569599/3110400000,404,2def9dc4cd99fb115c8a24bf3ba63854cb6ac973095ee5185e005c0d02050161
pzi_rows_s+056,56,3948,144,682214400,707097599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:39:03Z,2026-08-31T19:39:07Z,0,206,bytes 682214400-707097599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s+056.rows,24883200,e3376c7e549e281debfcad144fd33a1662933a0a2e40a1b5591dcb98777217ce,data/geographic_total/source/pzi/pzi_rows_s+056.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:39:04 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 682214400-707097599/3110400000,404,b2ece2f0016c70672bae331d56682a2025e0641d9e90b31f3bdaaaf56ccd76c4
pzi_rows_s+057,57,3828,144,661478400,686361599,https://microsite.geo.uzh.ch/cryodata/pf_global/PZI.flt,http_range,2026-08-31T19:39:03Z,2026-08-31T19:39:11Z,0,206,bytes 661478400-686361599/3110400000,data/geographic_total/source_raw/pzi/pzi_rows_s+057.rows,24883200,a9d9db1f2beebbd6f59a126a15ed926e807e419842723682923b5dfce4202360,data/geographic_total/source/pzi/pzi_rows_s+057.headers,HTTP/1.1 206 Partial Content,"Mon, 31 Aug 2026 19:39:04 GMT","""4f3b7a3a-b964f000""","Wed, 15 Feb 2012 09:26:18 GMT",24883200,bytes 661478400-686361599/3110400000,404,28e608b4e6e4cdb4b21f844e574eadba03a013c18252e2cc0d3c91486c8165dc
