candidate_id,window,onset_role,coordinate_uncertainty_class,quantization_gap_seconds,dependence_component,component_representative,old_pilot_overlap,onset_event_mean_t2m_k,onset_warm_state_anomaly_k,onset_warm_state_rank,onset_theil_sen_k_per_decade,onset_fitted_change_1991_to_event_k,onset_linear_trend_residual_rank,calendar_event_mean_t2m_k,calendar_warm_state_anomaly_k,calendar_warm_state_rank,calendar_theil_sen_k_per_decade,calendar_fitted_change_1991_to_event_k,calendar_linear_trend_residual_rank,delta_time_warm_state_rank,delta_time_linear_trend_residual_rank,onset_four_cell_warm_rank_min,onset_four_cell_warm_rank_max,onset_four_cell_warm_rank_range,onset_four_cell_residual_rank_min,onset_four_cell_residual_rank_max,onset_four_cell_residual_rank_range
lituya-2012,30d,source_failure,le_1_km,1380,lituya-2012,True,False,271.81118774414062,-1.13226318359375,0.10344827586206896,0.30619621276855469,0.64301204681396484,0.068965517241379309,271.74087524414062,-1.078460693359375,0.13793103448275862,0.32368977864583337,0.67974853515625,0.068965517241379309,-0.034482758620689655,0,0.068965517241379309,0.13793103448275862,0.068965517241379309,0,0.068965517241379309,0.068965517241379309
lituya-2012,7d,source_failure,le_1_km,1380,lituya-2012,True,False,273.41900634765625,-0.08660888671875,0.44827586206896552,0.16793643727022056,0.3526665182674632,0.37931034482758619,273.26754760742188,-0.076751708984375,0.37931034482758619,0.18360137939453125,0.38556289672851562,0.34482758620689657,0.068965517241379337,0.034482758620689613,0.10344827586206896,0.65517241379310343,0.55172413793103448,0.068965517241379309,0.58620689655172409,0.51724137931034475
marmolada-2022,2d,source_failure,le_1_km,2600,marmolada-2022,True,False,289.18502807617188,1.4010162353515625,0.76666666666666672,0.8172607421875,2.53350830078125,0.56666666666666665,288.74307250976562,1.22808837890625,0.73333333333333328,0.82052377554086542,2.5436237041766825,0.46666666666666667,0.033333333333333437,0.099999999999999978,0.76666666666666672,0.83333333333333337,0.066666666666666652,0.56666666666666665,0.69999999999999996,0.1333333333333333
marmolada-2022,30d,source_failure,le_1_km,2600,marmolada-2022,True,False,288.37774658203125,2.474456787109375,0.93333333333333335,1.0127397017045454,3.1394930752840908,0.69999999999999996,288.30825805664062,2.403411865234375,0.93333333333333335,0.99880218505859375,3.0962867736816406,0.69999999999999996,0,0,0.93333333333333335,0.93333333333333335,0,0.69999999999999996,0.80000000000000004,0.10000000000000009
marmolada-2022,7d,source_failure,le_1_km,2600,marmolada-2022,True,False,289.65985107421875,2.04718017578125,0.83333333333333337,1.00067138671875,3.102081298828125,0.6333333333333333,289.443115234375,1.7690887451171875,0.80000000000000004,0.95599834735576927,2.9635948768028846,0.56666666666666665,0.033333333333333326,0.066666666666666652,0.83333333333333337,0.93333333333333335,0.099999999999999978,0.6333333333333333,0.73333333333333328,0.099999999999999978
meager-2010,2d,source_failure,le_1_km,1650,meager-2010,True,False,287.17263793945312,2.0419921875,0.75862068965517238,0.7067046294341216,1.3427387959248309,0.68965517241379315,287.69479370117188,2.38360595703125,0.82758620689655171,0.68659002130681823,1.3045210404829546,0.72413793103448276,-0.068965517241379337,-0.034482758620689613,0.68965517241379315,0.75862068965517238,0.068965517241379226,0.67241379310344829,0.68965517241379315,0.017241379310344862
meager-2010,30d,source_failure,le_1_km,1650,meager-2010,True,False,286.23147583007812,2.16241455078125,0.86206896551724133,0.54103597005208326,1.0279683430989583,0.86206896551724133,286.27017211914062,2.234222412109375,0.86206896551724133,0.53784344647381754,1.0219025483002533,0.89655172413793105,0,-0.034482758620689724,0.82758620689655171,0.86206896551724133,0.034482758620689613,0.86206896551724133,0.89655172413793105,0.034482758620689724
meager-2010,7d,source_failure,le_1_km,1650,meager-2010,True,False,286.38723754882812,1.43975830078125,0.75862068965517238,0.59750874837239587,1.1352666219075522,0.75862068965517238,286.51251220703125,1.35015869140625,0.75862068965517238,0.62285423278808594,1.1834230422973633,0.75862068965517238,0,0,0.65517241379310343,0.7931034482758621,0.13793103448275867,0.62068965517241381,0.75862068965517238,0.13793103448275856
pedersen-2024,2d,source_failure,le_1_km,3289,pedersen-2024,True,True,280.62185668945312,-0.2593536376953125,0.43333333333333335,0.3397216796875,1.12108154296875,0.33333333333333331,281.08609008789062,0.766815185546875,0.59999999999999998,0.29995649288862181,0.98985642653245198,0.59999999999999998,-0.16666666666666663,-0.26666666666666666,0.40000000000000002,0.46666666666666667,0.066666666666666652,0.33333333333333331,0.40000000000000002,0.066666666666666707
pedersen-2024,30d,source_failure,le_1_km,3289,pedersen-2024,True,True,279.95281982421875,-0.63580322265625,0.40000000000000002,0.19781673655790444,0.65279523064108458,0.33333333333333331,279.92742919921875,-0.6168975830078125,0.40000000000000002,0.18280029296875,0.603240966796875,0.29999999999999999,0,0.033333333333333326,0.36666666666666664,0.40000000000000002,0.033333333333333381,0.13333333333333333,0.33333333333333331,0.19999999999999998
pedersen-2024,7d,source_failure,le_1_km,3289,pedersen-2024,True,True,281.10220336914062,0.3187408447265625,0.6333333333333333,0.38913726806640625,1.2841529846191406,0.46666666666666667,280.948974609375,0.2297515869140625,0.56666666666666665,0.39013090587797616,1.2874319893973214,0.40000000000000002,0.066666666666666652,0.066666666666666652,0.36666666666666664,0.6333333333333333,0.26666666666666666,0.33333333333333331,0.46666666666666667,0.13333333333333336
