candidate_id,grid_latitude_deg,grid_longitude_deg_east,primary_cell,anchor,window,event_year,event_mean_t2m_k,reference_median_t2m_k,warm_state_anomaly_k,warm_state_rank,theil_sen_k_per_decade,fitted_change_1991_to_event_k,linear_trend_residual_rank,dependence_component,component_representative
meager-2010,50.5,236.5,True,onset,30d,2010,286.23147583007812,284.06906127929688,2.16241455078125,0.86206896551724133,0.54103597005208326,1.0279683430989583,0.86206896551724133,meager-2010,True
meager-2010,50.5,236.5,True,onset,7d,2010,286.38723754882812,284.94747924804688,1.43975830078125,0.75862068965517238,0.59750874837239587,1.1352666219075522,0.75862068965517238,meager-2010,True
meager-2010,50.75,236.25,False,onset,2d,2010,285.34262084960938,283.853271484375,1.489349365234375,0.72413793103448276,0.732269287109375,1.3913116455078125,0.68965517241379315,meager-2010,True
meager-2010,50.75,236.25,False,onset,30d,2010,284.88113403320312,282.56362915039062,2.3175048828125,0.86206896551724133,0.52447509765625,0.99650268554687493,0.86206896551724133,meager-2010,True
meager-2010,50.75,236.25,False,onset,7d,2010,284.789306640625,283.69137573242188,1.097930908203125,0.68965517241379315,0.64584171070772067,1.2270992503446692,0.67241379310344829,meager-2010,True
meager-2010,50.75,236.5,False,onset,2d,2010,285.36605834960938,284.07687377929688,1.2891845703125,0.68965517241379315,0.67851819490131582,1.2891845703125,0.67241379310344829,meager-2010,True
meager-2010,50.75,236.5,False,onset,30d,2010,285.02630615234375,282.83883666992188,2.187469482421875,0.82758620689655171,0.49652099609375,0.943389892578125,0.86206896551724133,meager-2010,True
meager-2010,50.75,236.5,False,onset,7d,2010,284.87359619140625,284.01715087890625,0.8564453125,0.65517241379310343,0.6525312151227679,1.2398093087332589,0.62068965517241381,meager-2010,True
pedersen-2024,59.75,210,False,onset,2d,2024,283.3399658203125,283.5701904296875,-0.230224609375,0.46666666666666667,0.24188232421875,0.79821166992187498,0.40000000000000002,pedersen-2024,True
pedersen-2024,59.75,210,False,onset,30d,2024,282.54833984375,282.83511352539062,-0.286773681640625,0.40000000000000002,0.20007955616918105,0.66026253535829749,0.18333333333333332,pedersen-2024,True
pedersen-2024,59.75,210,False,onset,7d,2024,283.18539428710938,283.45645141601562,-0.27105712890625,0.46666666666666667,0.25494893391927081,0.84133148193359375,0.33333333333333331,pedersen-2024,True
pedersen-2024,59.75,210.25,False,onset,2d,2024,284.48300170898438,284.552978515625,-0.069976806640625,0.43333333333333335,0.2517547607421875,0.83079071044921882,0.40000000000000002,pedersen-2024,True
pedersen-2024,59.75,210.25,False,onset,30d,2024,283.51910400390625,283.82904052734375,-0.3099365234375,0.36666666666666664,0.2370791965060764,0.78236134847005201,0.13333333333333333,pedersen-2024,True
pedersen-2024,59.75,210.25,False,onset,7d,2024,284.00924682617188,284.60569763183594,-0.5964508056640625,0.36666666666666664,0.2071380615234375,0.68355560302734375,0.33333333333333331,pedersen-2024,True
pedersen-2024,60,210,True,onset,2d,2024,280.62185668945312,280.88121032714844,-0.2593536376953125,0.43333333333333335,0.3397216796875,1.12108154296875,0.33333333333333331,pedersen-2024,True
pedersen-2024,60,210,True,onset,30d,2024,279.95281982421875,280.588623046875,-0.63580322265625,0.40000000000000002,0.19781673655790444,0.65279523064108458,0.33333333333333331,pedersen-2024,True
pedersen-2024,60,210,True,onset,7d,2024,281.10220336914062,280.78346252441406,0.3187408447265625,0.6333333333333333,0.38913726806640625,1.2841529846191406,0.46666666666666667,pedersen-2024,True
pedersen-2024,60,210.25,False,onset,2d,2024,281.09933471679688,281.53976440429688,-0.4404296875,0.40000000000000002,0.34018198649088538,1.1226005554199219,0.33333333333333331,pedersen-2024,True
pedersen-2024,60,210.25,False,onset,30d,2024,280.4949951171875,281.1053466796875,-0.6103515625,0.40000000000000002,0.19083658854166669,0.6297607421875,0.26666666666666666,pedersen-2024,True
