candidate_id,onset_role,lapse_rate_k_per_km,site_minus_model_height_km,hours_above_273_15_k
bukadaban-2022,source_failure,6.5,0,0
bukadaban-2022,source_failure,6.5,1,0
bukadaban-2022,source_failure,6.5,2,0
bukadaban-2022,source_failure,9,-1,7
bukadaban-2022,source_failure,9,0,0
bukadaban-2022,source_failure,9,1,0
bukadaban-2022,source_failure,9,2,0
hillary-2014,source_failure,4,-1,152
hillary-2014,source_failure,4,0,101
hillary-2014,source_failure,4,1,0
hillary-2014,source_failure,4,2,0
hillary-2014,source_failure,6.5,-1,161
hillary-2014,source_failure,6.5,0,101
hillary-2014,source_failure,6.5,1,0
hillary-2014,source_failure,6.5,2,0
hillary-2014,source_failure,9,-1,164
hillary-2014,source_failure,9,0,101
hillary-2014,source_failure,9,1,0
hillary-2014,source_failure,9,2,0
aysen-2007-punta-cola,trigger_proxy,4,-1,168
aysen-2007-punta-cola,trigger_proxy,4,0,168
aysen-2007-punta-cola,trigger_proxy,4,1,124
aysen-2007-punta-cola,trigger_proxy,4,2,16
aysen-2007-punta-cola,trigger_proxy,6.5,-1,168
aysen-2007-punta-cola,trigger_proxy,6.5,0,168
aysen-2007-punta-cola,trigger_proxy,6.5,1,42
aysen-2007-punta-cola,trigger_proxy,6.5,2,0
aysen-2007-punta-cola,trigger_proxy,9,-1,168
aysen-2007-punta-cola,trigger_proxy,9,0,168
aysen-2007-punta-cola,trigger_proxy,9,1,4
aysen-2007-punta-cola,trigger_proxy,9,2,0
