candidate_id,grid_latitude_deg,grid_longitude_deg_east,primary_cell,anchor,year,window,hours,mean_t2m_k
lamplugh-2016,58.5,223.25,False,onset,2019,30d,720,280.77938842773438
lamplugh-2016,58.5,223.25,False,onset,2020,2d,48,280.65353393554688
lamplugh-2016,58.5,223.25,False,onset,2020,7d,168,279.78854370117188
lamplugh-2016,58.5,223.25,False,onset,2020,30d,720,279.62469482421875
lamplugh-2016,58.5,223.25,False,onset,2021,2d,48,284.94964599609375
lamplugh-2016,58.5,223.25,False,onset,2021,7d,168,282.30126953125
lamplugh-2016,58.5,223.25,False,onset,2021,30d,720,280.6236572265625
lamplugh-2016,58.5,223.25,False,onset,2022,2d,48,285.90704345703125
lamplugh-2016,58.5,223.25,False,onset,2022,7d,168,282.90512084960938
lamplugh-2016,58.5,223.25,False,onset,2022,30d,720,282.00460815429688
lamplugh-2016,58.5,223.25,False,onset,2023,2d,48,281.70730590820312
lamplugh-2016,58.5,223.25,False,onset,2023,7d,168,281.3575439453125
lamplugh-2016,58.5,223.25,False,onset,2023,30d,720,279.99371337890625
lamplugh-2016,58.5,223.25,False,onset,2024,2d,48,282.96713256835938
lamplugh-2016,58.5,223.25,False,onset,2024,7d,168,281.88363647460938
lamplugh-2016,58.5,223.25,False,onset,2024,30d,720,280.09124755859375
lamplugh-2016,58.5,223.25,False,onset,2025,2d,48,280.9940185546875
lamplugh-2016,58.5,223.25,False,onset,2025,7d,168,281.072509765625
lamplugh-2016,58.5,223.25,False,onset,2025,30d,720,279.29718017578125
lamplugh-2016,58.5,223.25,False,calendar,1979,2d,48,277.90106201171875
lamplugh-2016,58.5,223.25,False,calendar,1979,7d,168,278.28179931640625
lamplugh-2016,58.5,223.25,False,calendar,1979,30d,720,277.49459838867188
lamplugh-2016,58.5,223.25,False,calendar,1980,2d,48,279.87353515625
lamplugh-2016,58.5,223.25,False,calendar,1980,7d,168,279.97503662109375
lamplugh-2016,58.5,223.25,False,calendar,1980,30d,720,280.32986450195312
lamplugh-2016,58.5,223.25,False,calendar,1981,2d,48,280.23031616210938
lamplugh-2016,58.5,223.25,False,calendar,1981,7d,168,279.98843383789062
lamplugh-2016,58.5,223.25,False,calendar,1981,30d,720,279.74432373046875
lamplugh-2016,58.5,223.25,False,calendar,1982,2d,48,286.14297485351562
lamplugh-2016,58.5,223.25,False,calendar,1982,7d,168,283.29696655273438
lamplugh-2016,58.5,223.25,False,calendar,1982,30d,720,279.64178466796875
lamplugh-2016,58.5,223.25,False,calendar,1983,2d,48,280.56674194335938
lamplugh-2016,58.5,223.25,False,calendar,1983,7d,168,282.940673828125
lamplugh-2016,58.5,223.25,False,calendar,1983,30d,720,280.76992797851562
lamplugh-2016,58.5,223.25,False,calendar,1984,2d,48,279.5093994140625
lamplugh-2016,58.5,223.25,False,calendar,1984,7d,168,280.98138427734375
lamplugh-2016,58.5,223.25,False,calendar,1984,30d,720,278.98590087890625
lamplugh-2016,58.5,223.25,False,calendar,1985,2d,48,277.31643676757812
lamplugh-2016,58.5,223.25,False,calendar,1985,7d,168,277.59677124023438
lamplugh-2016,58.5,223.25,False,calendar,1985,30d,720,277.28125
lamplugh-2016,58.5,223.25,False,calendar,1986,2d,48,282.77615356445312
lamplugh-2016,58.5,223.25,False,calendar,1986,7d,168,279.56292724609375
lamplugh-2016,58.5,223.25,False,calendar,1986,30d,720,278.89242553710938
lamplugh-2016,58.5,223.25,False,calendar,1987,2d,48,278.89950561523438
lamplugh-2016,58.5,223.25,False,calendar,1987,7d,168,278.98135375976562
lamplugh-2016,58.5,223.25,False,calendar,1987,30d,720,277.8411865234375
lamplugh-2016,58.5,223.25,False,calendar,1988,2d,48,279.09878540039062
lamplugh-2016,58.5,223.25,False,calendar,1988,7d,168,279.25808715820312
lamplugh-2016,58.5,223.25,False,calendar,1988,30d,720,279.296875
lamplugh-2016,58.5,223.25,False,calendar,1989,2d,48,282.32421875
lamplugh-2016,58.5,223.25,False,calendar,1989,7d,168,280.81478881835938
lamplugh-2016,58.5,223.25,False,calendar,1989,30d,720,279.5799560546875
lamplugh-2016,58.5,223.25,False,calendar,1990,2d,48,280.08956909179688
lamplugh-2016,58.5,223.25,False,calendar,1990,7d,168,279.44732666015625
lamplugh-2016,58.5,223.25,False,calendar,1990,30d,720,279.81793212890625
lamplugh-2016,58.5,223.25,False,calendar,1991,2d,48,282.13156127929688
lamplugh-2016,58.5,223.25,False,calendar,1991,7d,168,283.27154541015625
lamplugh-2016,58.5,223.25,False,calendar,1991,30d,720,279.401123046875
lamplugh-2016,58.5,223.25,False,calendar,1992,2d,48,282.02841186523438
lamplugh-2016,58.5,223.25,False,calendar,1992,7d,168,279.7510986328125
lamplugh-2016,58.5,223.25,False,calendar,1992,30d,720,279.8721923828125
lamplugh-2016,58.5,223.25,False,calendar,1993,2d,48,281.46279907226562
lamplugh-2016,58.5,223.25,False,calendar,1993,7d,168,280.439453125
lamplugh-2016,58.5,223.25,False,calendar,1993,30d,720,281.00146484375
lamplugh-2016,58.5,223.25,False,calendar,1994,2d,48,278.77468872070312
lamplugh-2016,58.5,223.25,False,calendar,1994,7d,168,279.70135498046875
lamplugh-2016,58.5,223.25,False,calendar,1994,30d,720,279.66372680664062
lamplugh-2016,58.5,223.25,False,calendar,1995,2d,48,280.119873046875
