candidate_id,window,onset_role,old_warm_state_anomaly_k,old_warm_state_rank,old_linear_trend_residual_rank,calendar_warm_state_anomaly_k,calendar_warm_state_rank,calendar_linear_trend_residual_rank,onset_warm_state_anomaly_k,onset_warm_state_rank,onset_linear_trend_residual_rank,delta_coordinate_warm_state_rank,delta_coordinate_linear_trend_residual_rank,delta_time_warm_state_rank,delta_time_linear_trend_residual_rank,delta_combined_warm_state_rank,delta_combined_linear_trend_residual_rank
kolka-2002,7d,source_failure,-0.508148193359375,0.37931034482758619,0.41379310344827586,-0.508148193359375,0.37931034482758619,0.41379310344827586,-0.65283203125,0.34482758620689657,0.41379310344827586,0,0,-0.034482758620689613,0,-0.034482758620689613,0
pedersen-2024,2d,source_failure,0.766815185546875,0.59999999999999998,0.59999999999999998,0.766815185546875,0.59999999999999998,0.59999999999999998,-0.2593536376953125,0.43333333333333335,0.33333333333333331,0,0,-0.16666666666666663,-0.26666666666666666,-0.16666666666666663,-0.26666666666666666
pedersen-2024,30d,source_failure,-0.6168975830078125,0.40000000000000002,0.29999999999999999,-0.6168975830078125,0.40000000000000002,0.29999999999999999,-0.63580322265625,0.40000000000000002,0.33333333333333331,0,0,0,0.033333333333333326,0,0.033333333333333326
pedersen-2024,7d,source_failure,0.2297515869140625,0.56666666666666665,0.40000000000000002,0.2297515869140625,0.56666666666666665,0.40000000000000002,0.3187408447265625,0.6333333333333333,0.46666666666666667,0,0,0.066666666666666652,0.066666666666666652,0.066666666666666652,0.066666666666666652
steller-2005,2d,source_failure,1.64971923828125,0.82758620689655171,0.82758620689655171,1.64971923828125,0.82758620689655171,0.82758620689655171,-0.040283203125,0.48275862068965519,0.44827586206896552,0,0,-0.34482758620689652,-0.37931034482758619,-0.34482758620689652,-0.37931034482758619
steller-2005,30d,source_failure,0.76953125,0.7931034482758621,0.86206896551724133,0.76953125,0.7931034482758621,0.86206896551724133,0.58380126953125,0.75862068965517238,0.75862068965517238,0,0,-0.034482758620689724,-0.10344827586206895,-0.034482758620689724,-0.10344827586206895
steller-2005,7d,source_failure,0.977447509765625,0.7931034482758621,0.75862068965517238,0.977447509765625,0.7931034482758621,0.75862068965517238,0.717010498046875,0.75862068965517238,0.75862068965517238,0,0,-0.034482758620689724,0,-0.034482758620689724,0
taan-2015,2d,source_failure,4.02496337890625,0.89655172413793105,0.86206896551724133,4.02496337890625,0.89655172413793105,0.86206896551724133,8.21905517578125,1,1,0,0,0.10344827586206895,0.13793103448275867,0.10344827586206895,0.13793103448275867
taan-2015,30d,source_failure,-0.205047607421875,0.44827586206896552,0.34482758620689657,-0.205047607421875,0.44827586206896552,0.34482758620689657,0.0850830078125,0.58620689655172409,0.44827586206896552,0,0,0.13793103448275856,0.10344827586206895,0.13793103448275856,0.10344827586206895
taan-2015,7d,source_failure,3.267669677734375,0.89655172413793105,0.86206896551724133,3.267669677734375,0.89655172413793105,0.86206896551724133,3.684417724609375,0.86206896551724133,0.82758620689655171,0,0,-0.034482758620689724,-0.034482758620689613,-0.034482758620689724,-0.034482758620689613
