rgi_id,polygon_area_m2,intersected_area_m2,planar_relative_closure_error,geodesic_representation_difference,weight_sum
RGI2000-v7.0-G-13-05558,186824.3349617349,186824.3349617349,0,0,1
RGI2000-v7.0-G-13-05728,678577.0669932008,678577.0667435575,8.659739592076221e-15,3.678923832239889e-10,1
RGI2000-v7.0-G-13-06035,615646.4540360351,615646.4540360351,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-06069,360262.7291807283,360262.7291807283,1.110223024625157e-15,0,1
RGI2000-v7.0-G-13-06091,915858.6836880939,915858.6836880939,6.661338147750939e-16,0,1
RGI2000-v7.0-G-13-06104,2088950.761007562,2088950.760805591,2.220446049250313e-15,9.668510436711131e-11,1
RGI2000-v7.0-G-13-06341,627282.4803428291,627282.4803428291,1.554312234475219e-15,0,1
RGI2000-v7.0-G-13-06828,176949.1870951238,176949.1870951238,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-06914,781701.6212503585,781701.6212503585,5.551115123125783e-16,0,1
RGI2000-v7.0-G-13-06917,112917.1319267754,112917.1319267754,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-06918,83181.03385672416,83181.03385672416,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-07259,255453.0881627381,255453.0881627381,0,0,1
RGI2000-v7.0-G-13-07291,318403.1342467507,318403.1342467507,6.661338147750939e-16,0,1
RGI2000-v7.0-G-13-07295,430952.4876484449,430952.4876484449,3.33066907387547e-16,0,1
RGI2000-v7.0-G-13-07351,240711.714615297,240711.714615297,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-07357,216651.7767871877,216651.7767871877,3.33066907387547e-16,0,1
RGI2000-v7.0-G-13-07398,90491.77124580689,90491.77124580689,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-07632,186681.3659287489,186681.3659287489,0,0,1
RGI2000-v7.0-G-13-07646,283504.392472269,283504.392472269,0,0,1
RGI2000-v7.0-G-13-07652,379820.4627109477,379820.4627109477,6.661338147750939e-16,0,1
RGI2000-v7.0-G-13-07675,915766.4411348556,915766.4411348556,3.33066907387547e-16,0,1
RGI2000-v7.0-G-13-07734,168536.16556845,168536.16556845,0,0,1
RGI2000-v7.0-G-13-07737,140988.4435342788,140988.4435342788,1.110223024625157e-16,0,1
RGI2000-v7.0-G-13-07818,220144.4458004171,220144.4458004171,0,0,1
RGI2000-v7.0-G-13-19031,247415.8874069047,247415.8874069047,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-19076,308348.0240552835,308348.0240552835,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-19104,363444.8425786892,363444.8425786892,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-19136,858580.4554829434,858580.4554829434,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-19189,142944.1386988743,142944.1386988743,3.33066907387547e-16,0,1
RGI2000-v7.0-G-13-19294,170208.7954642415,170208.7954642415,0,0,1
RGI2000-v7.0-G-13-19302,207317.976094672,207317.976094672,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-19328,306227.1856499853,306227.1856499853,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-19343,271963.3740040911,271963.3740040911,4.440892098500626e-16,0,1
RGI2000-v7.0-G-13-19384,103429.8707707548,103429.8707707548,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-19393,113292.7393304869,113292.7393304869,0,0,1
RGI2000-v7.0-G-13-19397,127952.0624045101,127952.0624045101,2.220446049250313e-16,0,1
RGI2000-v7.0-G-13-19418,633796.8234957559,633796.8234957559,8.881784197001252e-16,0,1
RGI2000-v7.0-G-13-19498,400595.4063989714,400595.4063989714,8.881784197001252e-16,0,1
