latitude,longitude,year,hour_count,t2m_mean_k,missing_reason
39.50,72.00,2008,8784,271.04639377663477,
39.50,73.75,2008,8784,264.81270054085877,
60.50,221.50,2008,8784,264.07166133769442,
60.75,218.50,2008,8784,264.2585511772142,
60.75,218.75,2008,8784,263.09620814332112,
60.75,219.00,2008,8784,262.11187387164171,
60.75,221.50,2008,8784,264.42615488361577,
61.00,218.00,2008,8784,266.65097209360647,
61.00,218.75,2008,8784,262.68284030559937,
61.00,219.00,2008,8784,261.32684880831636,
61.00,220.75,2008,8784,262.28809577823773,
61.00,221.00,2008,8784,263.07281333805219,
61.25,220.25,2008,8784,263.52404126443497,
61.25,220.50,2008,8784,265.15230289313314,
61.50,217.75,2008,8784,264.69189501764129,
61.50,218.00,2008,8784,261.9213389898693,
61.50,218.50,2008,8784,262.01619603898791,
61.75,218.50,2008,8784,264.57829005514122,
62.25,218.25,2008,8784,265.4882537219911,
28.25,89.75,2009,8760,269.05950836111964,
28.25,90.00,2009,8760,267.16377622700173,
28.25,90.25,2009,8760,266.70209069447975,
29.25,83.75,2009,8760,267.79180712242646,
30.00,82.50,2009,8760,265.88971240074125,
30.00,85.00,2009,8760,266.91603547361888,
30.25,82.00,2009,8760,264.68204033385672,
30.25,82.25,2009,8760,264.34787155743601,
30.50,84.25,2009,8760,266.59704779707675,
30.50,86.50,2009,8760,271.86274014825688,
30.75,82.75,2009,8760,263.83777552913858,
30.75,83.00,2009,8760,264.53387022323261,
30.75,83.25,2009,8760,265.94548172449959,
31.00,82.25,2009,8760,264.29982070400291,
31.00,82.50,2009,8760,264.51807708217672,
31.00,82.75,2009,8760,265.26702650932418,
31.50,86.75,2009,8760,273.61163249429501,
31.75,85.00,2009,8760,271.05144076935233,
32.75,92.25,2009,8760,266.49544519746684,
32.75,92.50,2009,8760,266.45440880936576,
32.75,92.75,2009,8760,266.52330818350458,
32.75,93.25,2009,8760,267.72695715568926,
33.00,92.00,2009,8760,266.68487021041244,
33.25,95.25,2009,8760,267.90206863020109,
33.50,86.50,2009,8760,268.22601829946859,
33.50,86.75,2009,8760,268.88133007206329,
33.75,89.00,2009,8760,266.13710356760242,
34.00,82.25,2009,8760,266.42639461674105,
34.25,79.75,2009,8760,262.2091042731995,
34.25,80.00,2009,8760,262.02498970031741,
34.50,79.75,2009,8760,262.42366687652725,
34.50,81.25,2009,8760,262.89746515631134,
34.75,82.25,2009,8760,262.92760370855461,
34.75,82.50,2009,8760,262.87425217998629,
35.50,89.75,2009,8760,263.76312071395245,
35.75,88.50,2009,8760,263.82227453292779,
35.75,89.75,2009,8760,262.78105178728498,
35.75,90.50,2009,8760,263.78299127169396,
35.75,90.75,2009,8760,263.47456184979444,
35.75,92.00,2009,8760,265.39267642225849,
35.75,94.25,2009,8760,269.10582530052153,
36.00,90.00,2009,8760,262.86703452541406,
36.00,90.75,2009,8760,262.07150797560877,
36.00,91.00,2009,8760,262.12025781570503,
36.25,87.25,2009,8760,261.01529941123368,
36.25,87.50,2009,8760,260.99110364347831,
36.25,90.00,2009,8760,262.06193677823836,
36.50,87.50,2009,8760,260.10352134878775,
36.75,84.50,2009,8760,265.746061652545,
36.75,84.75,2009,8760,262.58599587706124,
37.50,71.25,2009,8760,269.22161569116321,
37.75,70.75,2009,8760,272.0534188954253,
37.75,71.25,2009,8760,268.55705088611063,
37.75,88.25,2009,8760,263.43084309199082,
38.00,70.75,2009,8760,270.57552287306413,
38.00,71.00,2009,8760,268.11058631966648,
38.00,71.25,2009,8760,268.36249644658335,
38.00,71.75,2009,8760,266.03861836472601,
38.25,70.25,2009,8760,279.21922471033383,
38.25,71.00,2009,8760,271.02018431746251,
38.50,70.50,2009,8760,275.26624396511409,
38.50,71.00,2009,8760,271.6060562621513,
38.50,71.25,2009,8760,269.01983624462667,
38.50,72.00,2009,8760,263.64065997850952,
38.75,71.00,2009,8760,270.52930915170606,
38.75,71.25,2009,8760,267.77133187420293,
38.75,71.75,2009,8760,264.7615047210972,
38.75,72.00,2009,8760,262.23640186536255,
39.00,70.50,2009,8760,276.10176586865288,
39.00,70.75,2009,8760,273.22908932237323,
39.00,71.00,2009,8760,272.35494504257969,
39.00,71.25,2009,8760,270.69873629705,
39.25,72.00,2009,8760,264.12963710767491,
39.50,72.00,2009,8760,270.65954918360603,
39.50,73.75,2009,8760,264.4200642659784,
60.50,221.50,2009,8760,265.17217413323112,
60.75,218.50,2009,8760,264.68119061613737,
60.75,218.75,2009,8760,263.41641266008492,
60.75,219.00,2009,8760,262.54168933014893,
60.75,221.50,2009,8760,265.54784323113148,
61.00,218.00,2009,8760,267.71397885013391,
61.00,218.75,2009,8760,263.24548923370503,
61.00,219.00,2009,8760,261.88920065649023,
61.00,220.75,2009,8760,262.97104620911762,
61.00,221.00,2009,8760,263.74508081375194,
61.25,220.25,2009,8760,264.58358723017722,
61.25,220.50,2009,8760,266.18705757175951,
61.50,217.75,2009,8760,266.31352293632892,
61.50,218.00,2009,8760,263.40847911573434,
61.50,218.50,2009,8760,263.47041475827291,
61.75,218.50,2009,8760,266.21321118498503,
62.25,218.25,2009,8760,266.745825944317,
28.25,89.75,2010,8760,269.42969751749951,
28.25,90.00,2010,8760,267.57018607326836,
28.25,90.25,2010,8760,267.44445029829188,
29.25,83.75,2010,8760,267.57581650546695,
30.00,82.50,2010,8760,267.10066398725115,
30.00,85.00,2010,8760,266.77635694878285,
30.25,82.00,2010,8760,265.62853143073653,
30.25,82.25,2010,8760,265.46369905689534,
30.50,84.25,2010,8760,266.85217719056288,
30.50,86.50,2010,8760,271.79727344948407,
30.75,82.75,2010,8760,265.10921915829454,
30.75,83.00,2010,8760,265.51211628848557,
30.75,83.25,2010,8760,266.50060152898641,
31.00,82.25,2010,8760,265.82268008750322,
31.00,82.50,2010,8760,266.17113989216006,
31.00,82.75,2010,8760,266.71431531688393,
31.50,86.75,2010,8760,273.89370960427203,
31.75,85.00,2010,8760,271.34423673446867,
32.75,92.25,2010,8760,267.06681313013922,
32.75,92.50,2010,8760,266.91977628246292,
32.75,92.75,2010,8760,266.79688927811577,
32.75,93.25,2010,8760,267.55630105249412,
33.00,92.00,2010,8760,267.15481369332093,
33.25,95.25,2010,8760,267.86321430815951,
33.50,86.50,2010,8760,268.88822619294467,
33.50,86.75,2010,8760,269.53178374930604,
33.75,89.00,2010,8760,266.74747186948173,
34.00,82.25,2010,8760,267.70765374937014,
34.25,79.75,2010,8760,263.81869108121691,
34.25,80.00,2010,8760,263.71075060073645,
34.50,79.75,2010,8760,264.00319407214857,
34.50,81.25,2010,8760,264.33398478608154,
34.75,82.25,2010,8760,264.30208530861495,
34.75,82.50,2010,8760,264.66442947213505,
35.50,89.75,2010,8760,264.76551174529612,
35.75,88.50,2010,8760,265.24948338373611,
35.75,89.75,2010,8760,263.80858749842537,
35.75,90.50,2010,8760,264.63589088405104,
35.75,90.75,2010,8760,264.42020993341595,
35.75,92.00,2010,8760,266.1158479159281,
35.75,94.25,2010,8760,269.6963962729119,
36.00,90.00,2010,8760,263.8154821056209,
36.00,90.75,2010,8760,262.98996416379327,
36.00,91.00,2010,8760,263.12921531189522,
36.25,87.25,2010,8760,262.59448062948985,
36.25,87.50,2010,8760,262.47623384902465,
36.25,90.00,2010,8760,263.02924831860685,
