candidate_id,matching_level,pool_size,rgi_id,digest,rank,selected
bukadaban-2022,1,40,RGI2000-v7.0-G-13-52193,6e1bb2eb6e534e2c44ded5c674b4dcfc88265ea14d67ecc0b3148ae9f6a931c9,20,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-13121,00e8732756bf5c0aaa5a88995e4cf795881fb206990f71c6770a23e899986463,1,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-14085,0195868bf5f9e0747cb958b65b16d47f25bf681295057e053635f27ed5563b85,2,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-14376,0197371dde116242ca2340038c0acca1afe1f4269f2e0f55561cdb5a27faa0df,3,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-16095,019d0bf83038de8d7c3bac34c8abd6894bd65d032e5a66c15a965113b3a6d35b,4,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-16326,02eda5a77e9f02f5d1b552b710fed8b8eb2fb996e270169ec734d8e28291f0db,5,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-16561,030f130e541589678dddd9129eeed97c6a9838e4bb1d86c22cacb8916b4ee235,6,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-13024,038b73762d1c6687725bbc05d2718d037ff01dd0445c811ce29b020cffe84f51,7,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-13173,03b4282ff5f271fc3a4f5342a67151d43106763d3bccff65551422b6efda0f98,8,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-16157,04169ba7381d631a4245ffae204cb89354e110b01fb53e2aab0078bde646d891,9,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-16128,0472018e7a3f9cd315e9584e69e5175768aa538d306ed3c1b58b3f9588b72ea2,10,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-13781,04d287025ab2aee72a4fc14156122baf64906ea9abc76cfbb9b6e83672a3cb77,11,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-14110,04e38bc96eab9b8bb54d582f791f375e63e75f443b8bf1295d365eb5c9350b14,12,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-14039,057a22a34fd7cfd57671527edeebed930c7056180da979f85fbf66d0b1a3c418,13,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-14381,061bcec6faadd684b9ad762632be732cdb77efb8d9d38057a26060d052429b7c,14,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-14630,06739c7753b5de5a0c9d0ef969b3e3823a3dc29c662cd68852afe6aa8bbfb23e,15,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-16185,0693b17a3a9eb83973a9dae3a1130590d32cadd877f5a057817aec7bd6869d98,16,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-13786,0768e58411dc806c8450f91faf5df98dc76054c3bf63a2f8bd292f83b710b220,17,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-14149,07b2895cdccd2f6538c39c78dfef99212ffa6f8cb8973e40e760e30a9875dfe4,18,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-14580,0808bffde8e6c50a6b894283c92845c44077787693d6667c838a4c98f2b5687b,19,True
flat-creek-2013,1,465,RGI2000-v7.0-G-01-16195,089e2e2fb100e6c5a7a3f430c3cab419954460f744f82ab51ae8d9a8bf97c650,20,True
petra-dp19,1,639,RGI2000-v7.0-G-13-19031,002199feae645db13fa71b52b52a58d6e0baee9d49c8fd66a54799db802a82b5,1,True
petra-dp19,1,639,RGI2000-v7.0-G-13-06069,00627dca88f6d9f84cbb58ac534bd04d5912785e5b10fef18bb4217ef93a9f82,2,True
petra-dp19,1,639,RGI2000-v7.0-G-13-05728,00b6a5ce5a863880bd98912cf525a9490f66982387addde6b031e581345ea8f3,3,True
petra-dp19,1,639,RGI2000-v7.0-G-13-19498,00c4c4f4c332a73796c458a5ff91dbf558eb15dd9ea57a0a6ec4eef7298c0f9d,4,True
petra-dp19,1,639,RGI2000-v7.0-G-13-07295,012df3fc3c8e5538f4812ed0046a40740a0b402638ae515ca66c159cbc764d3b,5,True
petra-dp19,1,639,RGI2000-v7.0-G-13-06341,0144a26030c615d7006638c041c8b08e08f83ce3eaf7aaca94e18269093874fc,6,True
petra-dp19,1,639,RGI2000-v7.0-G-13-19328,0172628f62d1836561d6fb1e4029f473cd88789cb090763f2d84cc596217ae90,7,True
petra-dp19,1,639,RGI2000-v7.0-G-13-19076,01d58638bb9c1ff4bfcb996f37ed83fa98def0426dfe037ae23016bc2950ef5c,8,True
petra-dp19,1,639,RGI2000-v7.0-G-13-07734,021b1fbc662fbbfaffd2fe02f71b03fef2e2451a33ef0b9ef9e4fdf5aeabf5a3,9,True
petra-dp19,1,639,RGI2000-v7.0-G-13-19302,02efdbef0c1e1ed0b0e6ad45cf69b8c719759a28800d5e43336e2cd2c8d07d82,10,True
petra-dp19,1,639,RGI2000-v7.0-G-13-06104,0323f43abc1b1e43ca231c3215db6b7c06cb6150a6b210f4a892cf85ea223d96,11,True
petra-dp19,1,639,RGI2000-v7.0-G-13-19136,0372c56c0d4349e7a1f47dbf81741ff592fa0840f201ce6f5607272e52fd4b9b,12,True
petra-dp19,1,639,RGI2000-v7.0-G-13-06914,039cb839f4cdb87bb0e48472ff5ff47ce2ed18bdad014dae7f4442d1fff83ade,13,True
petra-dp19,1,639,RGI2000-v7.0-G-13-07646,03a641a372942127c43bb6678270da9fca10eee47c4b43f3e77f7d4e6aa54cac,14,True
petra-dp19,1,639,RGI2000-v7.0-G-13-07652,0439daddac2ad448a4d3103c7e70563792abd46264b357dd8c63dbb44dfc6128,15,True
