rgi_id,index_year,t2m_trend_k_decade,t2m_change_k,t2m_hac_se_k_decade,theil_sen_k_decade,slope_deg,missing_reason
RGI2000-v7.0-G-01-16157,2013,-0.38542353647586541,-0.73230471930414431,0.26573429136243176,-0.41924729348977507,15.05809,
RGI2000-v7.0-G-01-16185,2013,-0.36173631652936128,-0.68729900140578637,0.28993580607559827,-0.34389512133223787,23.143476,
RGI2000-v7.0-G-01-16195,2013,-0.34984844930110776,-0.66471205367210473,0.27716949925001838,-0.34532823185405614,32.336489999999998,
RGI2000-v7.0-G-01-16326,2013,-0.27528260771894075,-0.52303695466598743,0.23969287957944393,-0.31126844164456052,26.092312,
RGI2000-v7.0-G-01-16561,2013,-0.43136532329982819,-0.81959411426967355,0.33558056214435983,-0.35664734508953994,18.996715999999999,
RGI2000-v7.0-G-13-05349,2017,0.63393572380450536,1.2044778752285603,0.16176179184259171,0.66172485078383636,22.860825999999999,
RGI2000-v7.0-G-13-05381,2017,0.53628416765049658,1.0189399185359433,0.16215400430101393,0.52684589592520381,20.741161000000002,
RGI2000-v7.0-G-13-05526,2017,0.38345297921890953,0.72856066051592805,0.18236615404695616,0.42437572239686305,25.025112,
RGI2000-v7.0-G-13-05558,2017,0.36258923319991765,0.6889195430798436,0.19499409746770682,0.36334865356928714,16.324701000000001,
RGI2000-v7.0-G-13-05728,2019,0.394678602017485,0.74988934383322148,0.15786699340023086,0.43629383053553134,24.002860999999999,
RGI2000-v7.0-G-13-06035,2019,0.56426777630548397,1.0721087749804197,0.13559953278010203,0.55667434751537059,19.031258000000001,
RGI2000-v7.0-G-13-06069,2019,0.47953218615834647,0.91111115370085827,0.11372309422515726,0.44759419001663825,21.392828000000002,
RGI2000-v7.0-G-13-06091,2017,0.42054936078807476,0.79904378549734201,0.2103083949604177,0.52341904745899348,17.713160999999999,
RGI2000-v7.0-G-13-06104,2019,0.56773830079699139,1.0787027715142836,0.13610195101215219,0.54565493510127128,16.380231999999999,
RGI2000-v7.0-G-13-06341,2019,0.47168658267842156,0.8962045070890009,0.21065709203613947,0.52662292486143025,21.203173,
RGI2000-v7.0-G-13-06828,2019,0.65531408772021105,1.245096766668401,0.16948636173141152,0.65193328079050161,25.272964000000002,
RGI2000-v7.0-G-13-06914,2019,0.65856105797859366,1.2512660101593278,0.15195132271869521,0.6737107363343775,11.867900000000001,
RGI2000-v7.0-G-13-06917,2017,0.44488285181299425,0.84527741844468907,0.20270802462911713,0.49074599418065901,23.795528000000001,
RGI2000-v7.0-G-13-06918,2017,0.44488285181299425,0.84527741844468907,0.20270802462911713,0.49074599418065901,23.921023999999999,
RGI2000-v7.0-G-13-07259,2017,0.36766495073003125,0.69856340638705938,0.20335822344195428,0.3762901594338548,19.665635999999999,
RGI2000-v7.0-G-13-07291,2017,0.36766495073003125,0.69856340638705938,0.20335822344195428,0.3762901594338548,23.76839,
RGI2000-v7.0-G-13-07295,2019,0.62737806438663779,1.1920183223346119,0.15660536714142631,0.64200194188686055,23.449283999999999,
RGI2000-v7.0-G-13-07351,2017,0.42505937341974875,0.80761280949752257,0.16033918881883941,0.47665523324778553,25.654070000000001,
RGI2000-v7.0-G-13-07357,2019,0.61259869659541255,1.1639375235312839,0.15100079621273305,0.60158167354714787,21.773052,
RGI2000-v7.0-G-13-07398,2017,0.36766495073003125,0.69856340638705938,0.20335822344195428,0.3762901594338548,23.423985999999999,
RGI2000-v7.0-G-13-07632,2017,0.37884133226400862,0.71979853130161642,0.2132500581732189,0.3570786235231872,24.611742,
RGI2000-v7.0-G-13-07646,2019,0.79749928183712859,1.5152486354905443,0.20582179324093525,0.7597807330648404,22.085008999999999,
RGI2000-v7.0-G-13-07652,2019,0.79749928183712859,1.5152486354905443,0.20582179324093525,0.7597807330648404,24.491717999999999,
RGI2000-v7.0-G-13-07675,2019,0.79749928183712859,1.5152486354905443,0.20582179324093525,0.7597807330648404,16.200430000000001,
RGI2000-v7.0-G-13-07734,2019,0.5753315305159018,1.0931299079802135,0.14667044760609707,0.55986980663707042,22.015238,
RGI2000-v7.0-G-13-07737,2017,0.37825993060320617,0.71869386814609171,0.16746168559333979,0.42858795769132291,27.526762000000002,
RGI2000-v7.0-G-13-07818,2019,0.60979368514867038,1.1586080017824738,0.18133633516301026,0.62583290796933644,28.244299999999999,
RGI2000-v7.0-G-13-19031,2019,0.13959069632955179,0.2652223230261484,0.19912990900668853,0.034749377450391909,27.137884,
RGI2000-v7.0-G-13-19076,2019,0.13959069632955179,0.2652223230261484,0.19912990900668853,0.034749377450391909,36.175229999999999,
RGI2000-v7.0-G-13-19104,2017,0.19415243009996305,0.3688896171899298,0.26779760375400147,0.22709465123613073,21.431719999999999,
RGI2000-v7.0-G-13-19136,2019,0.47888747191167746,0.90988619663218717,0.1774531273215087,0.41932607193035387,25.392643,
RGI2000-v7.0-G-13-19189,2017,0.3733084518572008,0.70928605852868154,0.18202993010505539,0.39737876745403555,21.132864000000001,
RGI2000-v7.0-G-13-19294,2017,0.45886853766645647,0.87185022156626735,0.15976542856894715,0.46749820644230666,26.700348000000002,
RGI2000-v7.0-G-13-19302,2019,0.63162962883246254,1.2000962947816789,0.097160231765405627,0.64171788524286422,28.118203999999999,
RGI2000-v7.0-G-13-19328,2019,0.63162962883246254,1.2000962947816789,0.097160231765405627,0.64171788524286422,27.310490000000001,
RGI2000-v7.0-G-13-19343,2017,0.50195786363496764,0.95371994090643852,0.15393274850543842,0.50162025114898745,22.161629000000001,
RGI2000-v7.0-G-13-19384,2017,0.45886853766645647,0.87185022156626735,0.15976542856894715,0.46749820644230666,23.607970999999999,
RGI2000-v7.0-G-13-19393,2017,0.50195786363496764,0.95371994090643852,0.15393274850543842,0.50162025114898745,24.034835999999999,
RGI2000-v7.0-G-13-19397,2017,0.50195786363496764,0.95371994090643852,0.15393274850543842,0.50162025114898745,29.653465000000001,
RGI2000-v7.0-G-13-19418,2019,0.69911912006110521,1.3283263281161,0.11054580694499121,0.71363049770638431,34.860267999999998,
RGI2000-v7.0-G-13-19498,2019,0.71481286107978703,1.3581444360515953,0.11546444020851587,0.70643921867926918,16.899857999999998,
RGI2000-v7.0-G-13-20061,2017,0.33551630799421944,0.63748098518901697,0.27965425047706682,0.36894956641306986,30.640847999999998,
RGI2000-v7.0-G-13-49946,2001,0.62354374315902661,1.1847331120021505,0.16573161388741076,0.60120666266383127,22.870007999999999,
RGI2000-v7.0-G-13-49947,2001,0.62357069650645292,1.1847843233622606,0.16990654560279428,0.57603532759358189,14.060701,
RGI2000-v7.0-G-13-49988,2022,0.26107149905010163,0.49603584819519303,0.20822619196909359,0.29113449946321801,17.665937,
RGI2000-v7.0-G-13-50011,2022,0.32331538173458657,0.61429922529571446,0.21624186241434276,0.40434060660427595,12.459353,
RGI2000-v7.0-G-13-50045,2001,0.52256389180404383,0.99287139442768324,0.20911997166369495,0.51840290753994367,17.703254999999999,
RGI2000-v7.0-G-13-50117,2001,0.52982007500456052,1.0066581425086651,0.21042968834699005,0.53714880765181761,13.7490015,
RGI2000-v7.0-G-13-50140,2001,0.52982007500456052,1.0066581425086651,0.21042968834699005,0.53714880765181761,14.697798000000001,
RGI2000-v7.0-G-13-50241,2001,0.59870729976549109,1.1375438695544331,0.16774447091582106,0.53362219073068973,12.503406,
RGI2000-v7.0-G-13-50246,2001,0.59870729976549109,1.1375438695544331,0.16774447091582106,0.53362219073068973,16.111923000000001,
RGI2000-v7.0-G-13-50357,2001,0.60244858302561555,1.1446523077486697,0.19015713356345082,0.43223327073608264,24.991185999999999,
RGI2000-v7.0-G-13-50518,2001,0.34267171593451357,0.65107626027557575,0.19934632521307594,0.27013664601279663,21.187532000000001,
RGI2000-v7.0-G-13-50570,2001,0.3332295960099782,0.63313623241895856,0.19642467733617019,0.26467234714812726,22.951969999999999,
RGI2000-v7.0-G-13-50585,2001,0.3332295960099782,0.63313623241895856,0.19642467733617019,0.26467234714812726,35.401499999999999,
RGI2000-v7.0-G-13-50732,2001,0.430140584950435,0.81726711140582653,0.17845575402586672,0.29816126279094135,20.036375,
RGI2000-v7.0-G-13-50759,2001,0.51661838417887618,0.98157492993986473,0.16474577597451778,0.38570181035467499,26.580552999999998,
RGI2000-v7.0-G-13-50778,2001,0.51661838417887618,0.98157492993986473,0.16474577597451778,0.38570181035467499,16.097812999999999,
RGI2000-v7.0-G-13-50868,2001,0.27818396510030552,0.52854953369058044,0.29155615515213945,0.14213455582197751,20.145879999999998,
RGI2000-v7.0-G-13-50870,2001,0.27818396510030552,0.52854953369058044,0.29155615515213945,0.14213455582197751,19.845434000000001,
RGI2000-v7.0-G-13-50873,2001,0.27818396510030552,0.52854953369058044,0.29155615515213945,0.14213455582197751,16.857396999999999,
RGI2000-v7.0-G-13-50879,2022,0.58379006706595082,1.1092011274253066,0.34810334424600442,0.65997073812230644,20.020985,
RGI2000-v7.0-G-13-51048,2001,0.23551633732678384,0.44748104092088931,0.21868727202555757,0.25649736760530889,23.990331999999999,
RGI2000-v7.0-G-13-51318,2001,0.46404442494253417,0.88168440739081499,0.19188165959875661,0.40316114254515034,19.357695,
RGI2000-v7.0-G-13-51339,2001,0.46404442494253417,0.88168440739081499,0.19188165959875661,0.40316114254515034,20.390574999999998,
RGI2000-v7.0-G-13-51439,2001,0.48343935150374856,0.91853476785712229,0.172171177390289,0.44646583689475017,26.032579999999999,
RGI2000-v7.0-G-13-51677,2001,0.45934653928733304,0.87275842464593278,0.22307208155175465,0.38911414422493029,21.090122000000001,
RGI2000-v7.0-G-13-51730,2001,0.53281128390675514,1.0123414394228347,0.1503432900761727,0.4724966456228622,16.359580000000001,
RGI2000-v7.0-G-13-51759,2001,0.53281128390675514,1.0123414394228347,0.1503432900761727,0.4724966456228622,15.866704,
RGI2000-v7.0-G-13-51792,2001,0.53281128390675514,1.0123414394228347,0.1503432900761727,0.4724966456228622,16.123058,
RGI2000-v7.0-G-13-51816,2001,0.37611451580174698,0.71461758002331921,0.22236695923383248,0.30721805593254264,21.687218000000001,
RGI2000-v7.0-G-13-51863,2001,0.31912290228249285,0.60633351433673643,0.24529507735088205,0.32915119272745291,16.937984,
