rgi_id,latitude,longitude,intersection_area_m2,weight
RGI2000-v7.0-G-13-52134,36.00,91.00,2828015.038898992,0.6817816201679429
RGI2000-v7.0-G-13-52134,36.25,91.00,1319962.78162713,0.3182183798320572
RGI2000-v7.0-G-13-52154,36.00,90.75,441200.1800761693,1
RGI2000-v7.0-G-13-52155,36.00,90.75,4716374.851631908,1
RGI2000-v7.0-G-13-52162,36.00,90.75,2117483.295836115,1
RGI2000-v7.0-G-13-52164,36.00,90.75,5856099.904000702,1
RGI2000-v7.0-G-13-52167,36.00,90.75,6109433.572551211,0.7657982257839199
RGI2000-v7.0-G-13-52167,36.00,91.00,1868429.742941855,0.2342017742160801
RGI2000-v7.0-G-13-52179,36.00,91.00,329552.839697174,1
RGI2000-v7.0-G-13-52183,36.00,91.00,13759178.8202256,1
RGI2000-v7.0-G-13-52193,36.00,91.00,3196614.245022648,1
RGI2000-v7.0-G-13-52210,35.75,90.75,117871.9814190376,1
RGI2000-v7.0-G-13-52227,35.75,90.75,517266.5025115552,1
RGI2000-v7.0-G-13-52233,35.75,90.75,12691988.14764055,1
RGI2000-v7.0-G-13-52234,35.75,90.75,5606369.44204459,1
RGI2000-v7.0-G-13-52244,35.75,90.50,3588925.992161674,1
RGI2000-v7.0-G-13-52288,36.25,90.25,1968312.901932556,1
RGI2000-v7.0-G-13-52294,36.25,90.25,521275.9963373458,1
RGI2000-v7.0-G-13-52319,36.25,90.25,129164.0546149262,1
RGI2000-v7.0-G-13-52775,35.75,93.00,241390.0502335383,1
RGI2000-v7.0-G-13-52779,35.75,93.00,865837.4733487777,1
RGI2000-v7.0-G-13-52786,35.75,93.00,1871750.177661884,0.9090487250658403
RGI2000-v7.0-G-13-52786,36.00,93.00,187270.5613269061,0.09095127493415969
RGI2000-v7.0-G-13-52828,35.75,93.50,333299.8881469992,1
RGI2000-v7.0-G-13-52905,35.75,93.75,1801159.825218811,1
RGI2000-v7.0-G-13-52927,35.75,93.50,319692.3757190734,1
RGI2000-v7.0-G-13-52928,35.75,93.50,267525.3159152798,1
RGI2000-v7.0-G-13-52971,35.75,94.25,4333311.897557903,1
RGI2000-v7.0-G-13-52988,35.75,94.25,4685280.1176208,1
RGI2000-v7.0-G-13-53065,35.50,94.50,2384057.469472918,1
RGI2000-v7.0-G-13-53092,35.50,94.75,104601.8508622725,1
RGI2000-v7.0-G-13-53220,35.75,94.25,2129810.909428627,1
RGI2000-v7.0-G-13-53221,35.75,94.25,5852729.269235474,1
RGI2000-v7.0-G-13-53270,35.50,95.00,128754.3046406643,1
RGI2000-v7.0-G-13-53505,36.00,90.00,498633.4396827798,0.1890145874036433
RGI2000-v7.0-G-13-53505,36.25,90.00,2139435.116464905,0.8109854125963567
RGI2000-v7.0-G-13-53508,36.00,90.00,5612629.021617033,0.6881032070434107
RGI2000-v7.0-G-13-53508,36.25,90.00,2544038.414555731,0.3118967929565893
RGI2000-v7.0-G-13-53514,36.25,90.25,4156458.483138213,1
RGI2000-v7.0-G-13-53544,36.50,87.50,1556844.991465081,1
RGI2000-v7.0-G-13-53563,36.50,87.50,1212423.587307147,1
