frame_id,frame_record,source_row,source_identity,date_text,prefilter_evidence
hma_rock_ice,HMA_xlsx_row_33_ID_28,33,HMA_ID_28,Sep 2010,source_volume=109Mm3;real_length=3.1987988370636877km
hma_rock_ice,HMA_xlsx_row_34_ID_29,34,HMA_ID_29,Jul 2021,source_volume=14Mm3;real_length=4.062888135304737km
hma_rock_ice,HMA_xlsx_row_36_ID_31,36,HMA_ID_31,Apr or May 2000,source_volume=7.6Mm3;real_length=5.928394723700507km
hma_rock_ice,HMA_xlsx_row_37_ID_32,37,HMA_ID_32,Aug 2016/Sep 2003/Aug 2006,real_length=6.7503968031516495km
hma_rock_ice,HMA_xlsx_row_38_ID_32,38,HMA_ID_32,Jul 2017/Aug 1973/Jul 1994/Sep 2004/Sep 2010/Jun 2019,source_volume=8~11Mm3;real_length=19.16374099699743km
hma_rock_ice,HMA_xlsx_row_40_ID_34,40,HMA_ID_34,Aug 2019,source_volume=8.6Mm3;real_length=6.985443794062049km
hma_rock_ice,HMA_xlsx_row_41_ID_35,41,HMA_ID_35,Apr 2009,real_length=5.630251326539518km
hma_rock_ice,HMA_xlsx_row_42_ID_35,42,HMA_ID_35,Mar 2001/Jun 2017,real_length=3.9816222824371477km
hma_rock_ice,HMA_xlsx_row_43_ID_36,43,HMA_ID_36,Jul 2019/Aug 2006,real_length=4.823074641761208km
hma_rock_ice,HMA_xlsx_row_49_ID_42,49,HMA_ID_42,Jan 2004/Sep 2007/Oct 2016/Jul 2019,source_volume=20~25Mm3;real_length=6.157256288315438km
hma_rock_ice,HMA_xlsx_row_50_ID_43,50,HMA_ID_43,Oct and Dec 2017/Dec 1973/Jun 1977/Nov 2014,source_volume=50Mm3;real_length=11.742377484989998km
hma_rock_ice,HMA_xlsx_row_51_ID_43,51,HMA_ID_43,Oct 2018,source_volume=139Mm3;real_length=11.387333665085958km
hma_rock_ice,HMA_xlsx_row_52_ID_43,52,HMA_ID_43,Mar 2021/Oct 2019,source_volume=50Mm3;real_length=11.779749572889909km
hma_rock_ice,HMA_xlsx_row_53_ID_44,53,HMA_ID_44,Apr 2000/1900,source_volume=91Mm3;real_length=510km
hma_rock_ice,HMA_xlsx_row_54_ID_45,54,HMA_ID_45,Aug 2015/Jun 1985/Jun 1986/1989~1990,source_volume=1~5Mm3;real_length=11.790739756266357km
hma_rock_ice,HMA_xlsx_row_57_ID_46,57,HMA_ID_46,May 2017,real_length=6.0371341711113224km
hma_rock_ice,HMA_xlsx_row_59_ID_48,59,HMA_ID_48,Oct 2009,source_volume=1~2Mm3;real_length=3.8169831018750924km
hma_rock_ice,HMA_xlsx_row_60_ID_49,60,HMA_ID_49,Jul 2022,source_volume=2Mm3;real_length=2.2940917592807835km
