/* DATA DESCRIPTION:
Citation:	Dohmen, Katrin; Braun, Anika; Fernandez-Steeger, Tomas Manuel (2025): A catalog of landslide-triggered tsunamis [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.979839
Abstract:	A comprehensive global catalog of landslide-triggered tsunamis (LTT) was compiled by reviewing tsunami and earthquake databases, catalogs, and scientific literature. This dataset is designed to investigate the relationship between tsunami heights and the triggering landslides' characteristics, including 354 documented cases from 6200 BC to 2024. It provides detailed information on landslide characteristics, triggering and preparatory factors, type of waterbody, tsunami wave height, inundation distance, and associated effects.
Keyword(s):	Landslides; Natural hazards; Risk assessment; tsunami
Supplement to:	Dohmen, Katrin; Blum, Philipp; Braun, Anika; Fernandez-Steeger, Tomas Manuel (in press): Landslide-triggered tsunamis - A review. Natural Hazards
Source:	References used for the catalog of landslide-triggered tsunamis (URI: https://download.pangaea.de/reference/132500/attachments/ReferencesDohmen.xlsx)
Funding:	Federal Ministry of Education and Research (BMBF) (URI: https://www.bmftr.bund.de), grant/award no. 03G0906E: TSUNAMI_RISK (URI: https://foerderportal.bund.de/foekat/jsp/SucheAction.do?actionMode=view&fkz=03G0906E)
	LTT_Bureya_2018 * LATITUDE: 50.560000 * LONGITUDE: 131.470000 * METHOD/DEVICE: Literature search
	LTT_California_1812 * LATITUDE: 34.200000 * LONGITUDE: -119.900000 * METHOD/DEVICE: Literature search
	LTT_California_1855 * LATITUDE: 34.100000 * LONGITUDE: -118.100000 * METHOD/DEVICE: Literature search
	LTT_California_1856 * LATITUDE: 37.500000 * LONGITUDE: -122.300000 * METHOD/DEVICE: Literature search
	LTT_California_1868 * LATITUDE: 37.700000 * LONGITUDE: -122.100000 * METHOD/DEVICE: Literature search
	LTT_California_1873 * LATITUDE: 42.000000 * LONGITUDE: -124.000000 * METHOD/DEVICE: Literature search
	LTT_California_1878 * LATITUDE: 35.180000 * LONGITUDE: -120.731000 * METHOD/DEVICE: Literature search
	LTT_California_1879 * LATITUDE: 34.227000 * LONGITUDE: -118.433000 * METHOD/DEVICE: Literature search
	LTT_California_1887 * LATITUDE: 38.000000 * LONGITUDE: -122.000000 * METHOD/DEVICE: Literature search
	LTT_California_1895_1 * LATITUDE: 36.963190 * LONGITUDE: -122.083034 * METHOD/DEVICE: Literature search * COMMENT: coordinates estimated
	LTT_California_1895_2 * LATITUDE: 36.963190 * LONGITUDE: -122.083034 * METHOD/DEVICE: Literature search * COMMENT: coordinates estimated
	LTT_California_1930 * LATITUDE: 34.030000 * LONGITUDE: -118.643000 * METHOD/DEVICE: Literature search
